,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Kutum,14.2,24.6667,82.47,20,23,6.91,SD,1666200986
1,Castro,-24.7911,-50.0119,73.36,71,36,6.42,BR,1666200987
2,Hilo,19.7297,-155.09,80.28,82,100,4.61,US,1666200987
3,Busselton,-33.65,115.3333,57.85,88,29,5.77,AU,1666200988
4,Avarua,-21.2078,-159.775,73.45,78,75,9.22,CK,1666200988
5,Rikitea,-23.1203,-134.9692,70.12,70,50,17.74,PF,1666200989
6,Jamestown,42.097,-79.2353,41.02,95,100,13.0,US,1666200989
7,Port Alfred,-33.5906,26.891,75.04,81,10,14.92,ZA,1666200990
8,Itarema,-2.9248,-39.9167,85.1,61,97,20.4,BR,1666200990
9,George Town,5.4112,100.3354,80.53,88,40,13.0,MY,1666200895
10,Nanortalik,60.1432,-45.2371,36.75,96,100,23.13,GL,1666200991
11,Mataura,-46.1927,168.8643,38.35,97,92,2.62,NZ,1666200991
12,Mokhsogollokh,61.4681,128.9203,26.04,89,100,9.95,RU,1666200992
13,Hamadan,34.7992,48.5146,58.08,36,0,9.22,IR,1666200992
14,Scarborough,54.2797,-0.4044,53.17,80,100,11.01,GB,1666200700
15,Port Macquarie,-31.4333,152.9167,62.89,94,100,11.21,AU,1666200993
16,Atuona,-9.8,-139.0333,76.73,69,13,14.92,PF,1666200994
17,Cap Malheureux,-19.9842,57.6142,70.47,73,48,3.0,MU,1666200994
18,La Bañeza,42.3003,-5.8977,60.69,84,100,16.96,ES,1666200995
19,Port Hardy,50.6996,-127.4199,53.78,100,75,2.3,CA,1666200860
20,Vaini,-21.2,-175.2,69.96,100,40,3.44,TO,1666200996
21,Caranavi,-15.8167,-67.55,80.4,54,60,3.67,BO,1666200997
22,Bredasdorp,-34.5322,20.0403,64.02,80,7,10.13,ZA,1666200998
23,Kalmunai,7.4167,81.8167,79.52,82,87,4.54,LK,1666200998
24,Burtunay,42.9886,46.6303,52.57,48,94,5.86,RU,1666200999
25,Hithadhoo,-0.6,73.0833,80.15,77,100,7.61,MV,1666201000
